"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
2212,516,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2213,517,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2214,518,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2215,519,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2216,520,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2217,521,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2218,522,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2219,523,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2220,524,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2221,525,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2222,526,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2223,527,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2224,528,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2225,529,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2226,530,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2227,531,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2228,532,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2229,533,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2230,534,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2231,535,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2232,536,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2233,537,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2234,538,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2235,539,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2236,540,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2237,541,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2238,542,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2239,543,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2240,544,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2241,545,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2242,546,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2243,547,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2244,548,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2246,549,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2247,550,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2248,551,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2249,552,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2250,553,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2251,554,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2256,555,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2292,556,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2312,557,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2347,558,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2354,559,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2357,560,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2395,561,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2399,562,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2433,563,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2461,564,2,username,"El campo no correponde a un username en la tabla usarios Ases."
